  REFUSE	package:wonders/ui/common/modals//fullscreen_video_viewer.dart#_FullscreenVideoViewerState.initState	uses `this` other than to read a member
  REFUSE	package:wonders/ui/screens/artifact/artifact_carousel/artifact_carousel_screen.dart#_ArtifactScreenState.build	uses `this` other than to read a member; uses `this` other than to read a member; uses `this` other than to read a member
  REFUSE	package:wonders/ui/screens/artifact/artifact_carousel/artifact_carousel_screen.dart#_BottomTextContent.build	its body names `_handleArtifactTap`, a private identifier this analysis did not resolve to a member the release granted. Private references are carried only when the release manifest shows the exact member was retained.
  REFUSE	package:wonders/ui/screens/collection/collection_screen.dart#_CollectionListState.build	uses `this` other than to read a member
  REFUSE	package:wonders/ui/common/controls/buttons.dart#AppBtn.build	its body names `_CustomFocusBuilder`, a private identifier this analysis did not resolve to a member the release granted. Private references are carried only when the release manifest shows the exact member was retained.
  REFUSE	package:wonders/ui/common/controls/buttons.dart#AppBtn.build	its body names `_CustomFocusBuilder`, a private identifier this analysis did not resolve to a member the release granted. Private references are carried only when the release manifest shows the exact member was retained.
  REFUSE	package:wonders/ui/screens/artifact/artifact_details/artifact_details_screen.dart#_InfoColumn.build	its body names `_InfoRow`, a private identifier this analysis did not resolve to a member the release granted. Private references are carried only when the release manifest shows the exact member was retained.
  REFUSE	package:wonders/ui/screens/editorial/editorial_screen.dart#_MapsThumbnailState.build	references the private member `_loadGoogleMap`, which this release did not retain. A patch can only name a private member the release was built to keep.
